intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
59,5g,Driving-10,tcp,1,1,13,16153,701,0,4375,10235,3587,896857,10811,elastic,2000,1920,1080,1920x1080,1.19,65.552,33060.145,2.861,3.811
59,5g,Driving-10,tcp,1,1,14,17961,1016,0,4375,5423,2754,688741,11004,elastic,2000,1920,1080,1920x1080,1.362,66.309,37435.164,2.969,3.899
59,5g,Driving-10,tcp,1,1,15,19173,417,0,4375,13418,2797,699451,11793,elastic,2000,1920,1080,1920x1080,1.52,66.965,41810.183,3.063,3.967
59,5g,Driving-10,tcp,1,1,16,20717,700,0,4375,10887,3810,952635,12249,elastic,2000,1920,1080,1920x1080,1.665,67.539,46185.202,3.145,4.002
59,5g,Driving-10,tcp,1,1,17,22371,868,0,4375,11451,4969,1242459,12595,elastic,2000,1920,1080,1920x1080,1.799,68.045,50560.221,3.217,4.033
59,5g,Driving-10,tcp,1,1,18,24985,1786,0,4375,6133,5477,1369313,11981,elastic,2000,1920,1080,1920x1080,1.923,68.496,54935.24,3.282,4.064
59,5g,Driving-10,tcp,1,1,19,27298,1474,0,4375,8028,5916,1479218,11669,elastic,2000,1920,1080,1920x1080,2.038,68.898,59310.259,3.339,4.094
59,5g,Driving-10,tcp,1,1,20,29392,1223,0,4375,9390,5742,1435508,11575,elastic,2000,1920,1080,1920x1080,2.144,69.261,63685.278,3.391,4.119
59,5g,Driving-10,tcp,1,1,21,31343,869,0,4375,12781,5553,1388420,11625,elastic,2000,1920,1080,1920x1080,2.243,69.589,68060.297,3.438,4.146
59,5g,Driving-10,tcp,1,1,22,33928,1304,0,4375,10025,6536,1634147,11040,elastic,2000,1920,1080,1920x1080,2.336,69.887,72435.316,3.48,4.17
59,5g,Driving-10,tcp,1,1,23,36224,815,0,4375,13860,5648,1412035,10745,elastic,2000,1920,1080,1920x1080,2.422,70.159,76810.335,3.519,4.19
59,5g,Driving-10,tcp,1,1,24,38353,803,0,4375,15427,6194,1548563,10617,elastic,2000,1920,1080,1920x1080,2.503,70.409,81185.354,3.555,4.208
59,5g,Driving-10,tcp,1,1,25,41861,2168,0,4375,5190,5626,1406618,9109,elastic,2000,1920,1080,1920x1080,2.579,70.639,85560.373,3.588,4.225
59,5g,Driving-10,tcp,1,1,26,43531,476,0,4375,22844,5437,1359256,9440,elastic,2000,1920,1080,1920x1080,2.651,70.85,89935.392,3.618,4.236
59,5g,Driving-10,tcp,1,1,27,47089,2271,0,4375,4630,5258,1314597,7882,elastic,2000,1920,1080,1920x1080,2.719,71.047,94310.411,3.646,4.251
59,5g,Driving-10,tcp,1,1,28,49161,753,0,3918,12043,4534,1133573,7810,elastic,2000,1920,1080,1920x1080,2.771,71.034,97772.234,3.656,4.266
59,5g,Driving-10,tcp,1,1,29,50939,540,0,3091,12353,3335,833850,8033,elastic,2000,1280,720,1280x720,2.778,70.887,100037.625,3.636,4.27
59,5g,Driving-10,tcp,1,1,30,52695,581,0,3091,10465,3040,760048,8277,elastic,2000,1280,720,1280x720,2.785,70.76,103129.531,3.618,4.267
59,5g,Driving-10,tcp,1,1,31,54763,947,0,3918,6272,2970,742523,8210,elastic,2000,1920,1080,1920x1080,2.831,70.82,106221.437,3.628,4.287
59,5g,Driving-10,tcp,1,1,32,56526,723,0,3091,7565,2735,683772,8448,elastic,2000,1280,720,1280x720,2.837,70.697,108486.828,3.611,4.289
59,5g,Driving-10,tcp,1,1,33,58931,1412,0,3918,5721,4039,1009774,8043,elastic,2000,1920,1080,1920x1080,2.879,70.758,111578.734,3.621,4.305
59,5g,Driving-10,tcp,1,1,34,60966,1034,0,3091,3518,1818,454739,8008,elastic,2000,1280,720,1280x720,2.884,70.645,113844.125,3.605,4.304
59,5g,Driving-10,tcp,1,1,35,62569,590,0,2422,6824,2013,503338,8406,elastic,2000,1280,720,1280x720,2.845,70.396,115596.953,3.571,4.31
59,5g,Driving-10,tcp,1,1,36,63780,198,0,1801,9528,943,235821,9195,elastic,2000,736,414,736x414,2.757,70.038,116777.254,3.522,4.136
59,5g,Driving-10,tcp,1,1,37,65756,917,0,2422,3129,1435,358755,9220,elastic,2000,1280,720,1280x720,2.727,69.819,118578.588,3.492,4.217
59,5g,Driving-10,tcp,1,1,38,67709,924,0,1801,2108,974,243575,9267,elastic,2000,736,414,736x414,2.651,69.497,119758.889,3.448,4.075
